Name,Address1,Address2,City,State,Zip,Phone,Email,Website,Lat,Lng,_type
"Christine Falcone-Bleil, Esthetician",1712 North Roosevelt Blvd,,Key West,FL,33040,305-747-9092,Christine@skincaretherapy.net,http://www.christine.skincaretherapy.net/,24.5590504,-81.7848037,SkinscriptrxscraperItem
D&#8217;Vine Skin Therapy | Danielle Moya,"4715 N 10th St, Suite 110",,McAllen,TX,78504,956-467-7710,,,26.246331,-98.2232612,SkinscriptrxscraperItem
Massage Green Spa &#8211; Davie,4401 S. Flamingo Rd.,,Davie,FL,33330,(954) 800-4750,,http://www.massagegreenspa.com/#!davie-florida/cth7,26.0651912,-80.314683,SkinscriptrxscraperItem
LilyBelle Skin Care,13224 W. Broward Blvd.,,Plantation,FL,33325,(954) 947-7554,tatiana@lilybelleskincare.com,,26.118927,-80.323607,SkinscriptrxscraperItem
Massage Green Plantation,10105 Cleary Blvd,,Plantation,FL,33324,954-794-7575,,http://massagegreenspa.com/locations/spa/plantation,26.1351055,-80.2855202,SkinscriptrxscraperItem
Lavender The Skin Care Place,1880 NE 170th St.,,North Miami Beach,FL,33162,(786) 463-0333,lavendertheskincareplace@gmail.com,http://www.gotolavender.com/,25.9321749,-80.1624729,SkinscriptrxscraperItem
Clean Start,6901 Biscayne Blvd.,,Miami,FL,33138,305.603.8540,,http://cleanstartmiami.com/clean/,25.8388961,-80.1840644,SkinscriptrxscraperItem
Salt the Spa,"3975 Isles View Dr, Suite 106",,Wellington,FL,33414,561-290-7258,,http://www.saltthespa.com/,26.6225744,-80.2331198,SkinscriptrxscraperItem
Sanda Gane European Day Spa,12300 S. Shore Blvd,Suite 204,Wellington,FL,33414,561.792.9696,,http://www.sandagane.com/,26.6497817,-80.2414861,SkinscriptrxscraperItem
Bella Reina Spa,815 George Bush Boulevard,,Delray Beach,FL,33483,(561) 404-7670, info@bellareinaspa.com,http://bellareinaspa.com/,26.4744102,-80.0646554,SkinscriptrxscraperItem
Stella Skin Studio,4360 Northlake Blvd,Suite 108,Palm Beach Gardens,FL,33410,(561) 254-8631,,http://stellaskinstudio.skincaretherapy.net/,26.8081032,-80.1031956,SkinscriptrxscraperItem
