"Address1","Address2","City","Email","Lat","Lng","Name","Phone","State","Website","Zip","_type"
"1712 North Roosevelt Blvd","","Key West","Christine@skincaretherapy.net","24.5590504","-81.7848037","Christine Falcone-Bleil, Esthetician","305-747-9092","FL","http://www.christine.skincaretherapy.net/","33040","SkinscriptrxscraperItem"
"4715 N 10th St, Suite 110","","McAllen","","26.246331","-98.2232612","D&#8217;Vine Skin Therapy | Danielle Moya","956-467-7710","TX","","78504","SkinscriptrxscraperItem"
"4401 S. Flamingo Rd.","","Davie","","26.0651912","-80.314683","Massage Green Spa &#8211; Davie","(954) 800-4750","FL","http://www.massagegreenspa.com/#!davie-florida/cth7","33330","SkinscriptrxscraperItem"
"13224 W. Broward Blvd.","","Plantation","tatiana@lilybelleskincare.com","26.118927","-80.323607","LilyBelle Skin Care","(954) 947-7554","FL","","33325","SkinscriptrxscraperItem"
"10105 Cleary Blvd","","Plantation","","26.1351055","-80.2855202","Massage Green Plantation","954-794-7575","FL","http://massagegreenspa.com/locations/spa/plantation","33324","SkinscriptrxscraperItem"
"1880 NE 170th St.","","North Miami Beach","lavendertheskincareplace@gmail.com","25.9321749","-80.1624729","Lavender The Skin Care Place","(786) 463-0333","FL","http://www.gotolavender.com/","33162","SkinscriptrxscraperItem"
"6901 Biscayne Blvd.","","Miami","","25.8388961","-80.1840644","Clean Start","305.603.8540","FL","http://cleanstartmiami.com/clean/","33138","SkinscriptrxscraperItem"
"3975 Isles View Dr, Suite 106","","Wellington","","26.6225744","-80.2331198","Salt the Spa","561-290-7258","FL","http://www.saltthespa.com/","33414","SkinscriptrxscraperItem"
"12300 S. Shore Blvd","Suite 204","Wellington","","26.6497817","-80.2414861","Sanda Gane European Day Spa","561.792.9696","FL","http://www.sandagane.com/","33414","SkinscriptrxscraperItem"
"815 George Bush Boulevard","","Delray Beach"," info@bellareinaspa.com","26.4744102","-80.0646554","Bella Reina Spa","(561) 404-7670","FL","http://bellareinaspa.com/","33483","SkinscriptrxscraperItem"
"4360 Northlake Blvd","Suite 108","Palm Beach Gardens","","26.8081032","-80.1031956","Stella Skin Studio","(561) 254-8631","FL","http://stellaskinstudio.skincaretherapy.net/","33410","SkinscriptrxscraperItem"
"At Salon Lofts-Paradise Plaza","3800 S Tamiami Trail, Loft 21","Sarasota","","27.3003048","-82.5327804","Kristin Lee Skincare","941-321-4694","FL","http://salonlofts.com/kristin_lee","34239","SkinscriptrxscraperItem"
"5917 Manatee Ave W, Suite 109","","Bradenton","skinandtonicfacialbar@gmail.com","27.495458","-82.6224359","Skin &#038; Tonic Facial Bar","941-306-1227","FL","http://www.skinandtonicfacialbar.com/","34209","SkinscriptrxscraperItem"
"9020 58th Dr. E","Suite 101","Lakewood Ranch","mamaloney.lmt@gmail.com","27.4366009","-82.4490485","Massage Therapy Connection","941-755-0406","FL","http://massagetherapyconnections.massagetherapy.com/about-our-practitioners","34202","SkinscriptrxscraperItem"
"111 2nd. Ave. NE, Suite 202","Plaza Courtyard Shops - 2nd Floor","St. Petersburg","yhughes1@tampabay.rr.com ","27.7742295","-82.6335143","Vse V","727-560-6644 ","FL","http://www.vsev.skincaretherapy.net/","33701","SkinscriptrxscraperItem"
"1981 US 27 South","","Sebring ","","27.4710464","-81.457519","The Studio of Health and Beauty","(863) 386 0822","FL","http://www.studioofhealthandbeauty.com","33870","SkinscriptrxscraperItem"
"11800 Shipwatch Dr","","Largo","therapistcarol@gmail.com","27.8803897","-82.8453623","Carol&#8217;s Massage Therapy and Facials","727-698-9232","FL","http://carolsmassageandfacials.com/","33774","SkinscriptrxscraperItem"
"11800 Shipwatch Drive","","Largo","therapistcarol@gmail.com","27.881025","-82.842829","Carol&#8217;s Massage Therapy and Esthetics","727-698-9232","FL","","33774","SkinscriptrxscraperItem"
"350 Alt 19 North","Suite A","Palm Harbor","vitalizemeskintherapy@aol.com","28.0709842","-82.767934","VitalizeMe Skin Therapy","727-744-4636","FL","http://vitalizemeskintherapy.com/","34683","SkinscriptrxscraperItem"
"19040 Bruce B. Downs Blvd","","Tampa","","28.1450732","-82.3533843","Massage Green Spa | Tampa","(813) 333-7703","FL","","33647","SkinscriptrxscraperItem"
"713 Lithia Pinecrest Road","","Brandon","","27.9280418","-82.2741331","Tranquil Escape Skin and Nails","(813) 857-5371","FL","https://www.facebook.com/TranquilEscapeSkinAndNails/","33511","SkinscriptrxscraperItem"
"13210 Boyette road","[In Lena Maxey Salon]","Riverview","Kvittoe@hotmail.com","27.8543827","-82.2726211","Kimberly Vittoe &#8211; Skin, Waxing, Nails","813-263-3588","FL","https://www.vagaro.com/kimberlyvittoe","33569","SkinscriptrxscraperItem"
"33913 State Rd 54","Suite 101","Wesley Chapel","","28.219046","-82.26022","Serenity Salon &#038; Spa Suite / Pamela Edmonson","813-731-3350","FL","https://www.facebook.com/Serenity-Salon-Spa-Suites-489979134527120/","33543","SkinscriptrxscraperItem"
"110 E. Reynolds Street","Suite 601","Plant City","","28.0165107","-82.1229213","The Face Place, LLC | Traci Walding, Esthetician","(813) 763-6166","FL","","33563","SkinscriptrxscraperItem"
"1118 South Florida Ave","","Lakeland","brittany@bodyallures.com","28.0279963","-81.9569712","Body Allures","863-450-6676","FL","http://www.bodyallures.com/","33803","SkinscriptrxscraperItem"
"11325 Darlington Dr","","Orlando","beautyandbella@gmail.com","28.1799333","-81.4848233","Beauty &#038; Bella","407-251-5021","FL","","32837","SkinscriptrxscraperItem"
"23 N. Summerlin Avenue","","Orlando","spaorlando@me.com","28.5430397","-81.368219","Spa Orlando","407-649-8889","FL","http://spaorlando.com/","32801","SkinscriptrxscraperItem"
"205 South Highland Avenue","","Apopka","latidasalonandspa@gmail.com","28.675344","-81.505039","La Ti Da Spa","407-886-0085","FL","http://www.latidasalonandspa.skincaretherapy.net","32703","SkinscriptrxscraperItem"
"551 N. Park Ave","","Apopka","mail@serenityspasalonapopka.com","28.6894284","-81.5090628","Serenity Spa &#038; Salon","(407) 703-5961","FL","http://www.serenityspasalonapopka.com","32712","SkinscriptrxscraperItem"
"407 Center Pointe Circle","Suite 1647","Altamonte Springs","Melissa@body-mx.com","28.6689784","-81.3864525","BodyMx Massage &#038; Skincare","407-494-2272","FL","http://www.body-mx.com/","32701","SkinscriptrxscraperItem"
"1455 SR 436 #299","Suite 115","Casselberry","thefaceplaceorg@aol.com","28.6272917","-81.3191885","The Face Place","407-923-7230","FL","http://www.thefaceplaceorganics.org ","32707","SkinscriptrxscraperItem"
"1548 Seminola Blvd. Suite 110","","Casselberry","skineezstudio@gmail.com","28.67675","-81.3071897","Skin-eeZ","(931) 627-9141","FL","","32707","SkinscriptrxscraperItem"
"5965 Red Bug Lake Rd #221","","Winter Springs","info@prettysimpleskinsolutions.com","28.64605","-81.2651439","Pretty Simple Skin Solutions, LLC  (at 5th Element Healing Spa)","407-702-1140","FL","http://www.prettysimpleskinsolutions.com/","32708","SkinscriptrxscraperItem"
"209 N. Country Club Road","","Lake Mary","","28.7608948","-81.3220588","Simplicity Facials, LLC (at Studio 209 Salon)","407-529-8403","FL","","32746","SkinscriptrxscraperItem"
"3A Orange Ave","","Rockledge","","28.3359359","-80.7173913","Carla Wiedman Studio","(321) 536-0871","FL","https://www.facebook.com/Carla-Wiedman-A-Private-Nail-Studio-891373980923222/","32955","SkinscriptrxscraperItem"
"4619 Fort Crockett Suite B","","Galveston","","29.2762068","-94.8135344","Eye Candy Lash Bar &#038; Esthetics | Amie Guidry","(409) 457-0645","TX","https://www.facebook.com/amieEyecandylashbar","77550","SkinscriptrxscraperItem"
"1780 South Nova Road, Ste 10-D","","South Daytona","info@EcoSkinPro.com?","29.1680787","-81.025534","Eco Skin Pro, LLC","(386) 290-3731","FL","http://www.ecoskinpro.com/","32119","SkinscriptrxscraperItem"
"3615 Broadway , Suite 3","located inside Rock, Paper, Scissors Salon","San Antonio","","29.4600523","-98.4681392","About Face | William Bailey","210-244-3429","TX","http://www.aboutfacesa.com/","78209","SkinscriptrxscraperItem"
