Website,City,Name,Zip,Address1,Address2,Phone,State,Lat,Lng,Email
http://sonoranserenityspa.com,Tempe,Sonoran Serenity Spa,85282,"4515 S Lakeshore Drive, Suite 105",,480-772-3297,AZ,33.3823449,-111.9258427,
http://www.arizonagrandresort.com/arizona-spa-resorts.php,Phoenix,Arizona Grand Resort,85044,7777 S. Pointe Parkway,,602-431-6485,Arizona,33.375942,-111.969786,
http://www.faceitskincareaz.com,Tempe,Face It Skincare,85284,1006 E Warner Rd.,Suite 110,(480) 518-2775,,33.3353841,-111.9270761,faceitskincareaz@gmail.com
http://www.therapeuticretreat.com,Tempe,Therapeutic Retreat,85284,8058 S. Priest Dr.,Suite 101,(480) 626-6200,AZ,33.3418237,-111.9631435,Relax@TherapeuticRetreat.com
http://www.justforyouintempe.com/,Tempe,Just For You Salon,85284,1730 E. Warner Rd. ,Ste. 5,480-752-8100,AZ,33.3352783,-111.9127525,
http://sundancespasalon.com/,Phoenix,Sundance Spa &#038  Salon,85044,10831 S. 51st Street,,(480) 893-0300,AZ,33.3478353,-111.9734502,info@sundancespaandsalon.com
http://www.marriott.com/hotels/travel/phxtm-the-buttes-a-marriott-resort/,Tempe,Narande Spa At Marriott The Buttes Resort,85282,2000 Westcourt Way ,,1-602-431-2357 ,AZ,33.401549,-111.968763,
http://www.dermahealthinstitute.com,Chandler,DermaHealth Institute of Chandler,85224,"2905 W. Warner Rd., Suite 17",,480-730-9000,Arizona,33.333925,-111.891194,
http://www.azskinrehab.com/,Mesa,AZ Skin Rehab,85210,1855 S. Country Club Drive,,(480) 215-6591,AZ,33.3810889,-111.8391838,azskinrehab@gmail.com 
http://www.inspiredskincarellc.com,Mesa,Inspired Skincare LLC,85210,1855 S. Country Club Dr. Suite 111,Studio 118 ,(480) 939-0569,AZ,33.3810889,-111.8391838,natasha@inspiredskincarellc.com 
,Mesa,Sarah Niemi L.E.,85201,47 W Main St,,480-378-2300 ,AZ,33.4147607,-111.8332361,phfaces@gmail.com
,Mesa,Cyndi McKnight,,,,(480)586-5826,Arizona,33.4151843,-111.8314724,cyndi92688@yahoo.com
http://www.zynergysalon.com/,Gilbert,Zynergy Salon,85234,78 North Cooper Rd. #103,,480-539-1111,Arizona,33.351277,-111.807704,zynergysalon@gmail.com
http://www.dermahealthinstitute.com,Phoenix,DermaHealth Institute of Ahwatukee,85048,"1345 E. Chandler Blvd., Bldg 1, Ste 105",,480-460-1505,Arizona,33.3049428,-112.0528314,
,Chandler,Stephanie Betts @ Serendipity Skin,85225,950 E Pecos Rd. Suite #11 ,Room #9,480-332-8619,AZ,33.29178,-111.8254823,bettsskin@gmail.com
,Gilbert,Mary Crawford (within Flair Salon),85234,1140 N. Gilbert Rd.,Suite 101,480-993-7334 ,AZ,33.3708339,-111.7909659,estheticsgirl@yahoo.com 
http://flairsalons.com/skincare.html,Gilbert,Flair! Salons,85234,"1140 N. Gilbert Rd., Suite 101",,602-463-6944,Arizona,33.3704046,-111.790096,
http://www.LeahLamphierSkinCare.com,Scottsdale,Leah Lamphier Skin Care,85251,Steven Paul Salon,7045 E. 3rd Avenue,602-402-1603,AZ,33.4961,-111.929344,LeahL.SkinCare@gmail.com
http://www.stevenpaulsalon.com/,Scottsdale,Steven Paul Salon- Sherill DuBois,85251,7045 E. 3rd Ave,,480-603-1000,Arizona,33.4961,-111.929344,
http://www.simplyravishingsalon.com/,Gilbert,Simply Ravishing Salon,85234,2401 East Baseline Rd Suite 104,,480-558-5143,AZ,33.3785515,-111.7788332,simplyravishingsalon@gmail.com
http://www.revitalizingskincare.net,Scottsdale,Revitalizing Skincare,85251,4333 N. Civic Center Plaza #600,,623-552-1101,AZ,33.4993798,-111.9211414,
,Scottsdale,Scottsdale House Salon,85251,4800 N. 68th St,,(480) 238-2879,AZ,33.507092,-111.936896,mpfister172@gmail.com
