Name_of_Church,Address,City,State,Zip,Phone,Pasors,Email,Web,ONA,Accessible,Fax,Latitude,Logitude,Distance,_type
First Congregational UCC ,527 William St ,Key West ,FL,33040-6876,305-296-8633,,demes99@comcast.net,null,N,N,null,24.55674,-81.79878,40.4,UccscraperItem
Coral Isles UCC ,90001 Overseas Hwy ,Tavernier ,FL,33070-0022,305-852-5813,,coralchurch@bellsouth.net,http://www.coralisles.org,Y,Y,,25.00902,-80.5221,35.1,UccscraperItem
United Church UCC ,320 N Barfield Dr ,Marco Island ,FL,34145-4036,239-394-6572,Mark Williams,ucmarco@comcast.net,http://www.ucmarco.org/,N,Y,239-394-8008,25.946487,-81.703495,35.9,UccscraperItem
Christ Congregational UCC ,14920 SW 67th Ave ,Miami ,FL,33158-2103,305-235-9381,Robert S. Hudder ,christch@bellsouth.net,http://www.christcongregational.org,Y,Y,305-238-4801,25.63206,-80.30166,15.4,UccscraperItem
Sunset Congregational Church UCC ,9025 Sunset Dr ,Miami ,FL,33173-3431,305-596-0778,,pastor@sunsetcongregational.org,http://www.sunsetcongregational.org,N,N,305-596-2464,25.70166,-80.34138,17.1,UccscraperItem
Coral Gables Congregational UCC ,3010 Desoto Blvd ,Coral Gables ,FL,33134-6398,305-448-7421,Laurinda M. Hafner ,,http://www.gablesucc.org,Y,Y,(305)441-1836,25.743231,-80.277862,21.7,UccscraperItem
Plymouth Congregational UCC ,3400 Devon Rd ,Miami,FL,33133-6202,305-444-6521,Alvin W. Bunis Jr.,inquiries@plymouthmiami.org,http://www.plymouthmiami.org,Y,Y,305-446-1035,25.72254,-80.24928,21.9,UccscraperItem
Key Biscayne Community Church UCC,355 Glenridge Rd ,Key Biscayne ,FL,33149-1300,305-361-2411,,kbcommunitychurch@hotmail.com,http://www.keybiscaynecommunitychurch.com,N,Y,305-361-9556,25.694266,-80.165278,24.8,UccscraperItem
Church of the Open Door UCC ,6001 NW Eighth Ave ,Miami ,FL,33127-1005,305-759-0373,Robert Joaquin Willis ,secretary@churchoftheopendoormiami.org,http://churchoftheopendoormiami.org,N,Y,305-759-9311,25.829983,-80.210535,29,UccscraperItem
Congregational Church UCC ,6701 Miami Lakeway S ,Miami Lakes ,FL,33014-2923,305-822-4313,,info@miamilakesucc.org,http://www.miamilakesucc.org,N,Y,305-822-5608,25.90354,-80.308776,30.2,UccscraperItem
Miami Beach Community Church,1620 Drexel Ave ,Miami Beach ,FL,33139-7733,305-538-4511,"Harold E. ""Hunter"" Thompson ",contactus@miamibeachcommunitychurch.com,http://www.miamibeachcommunitychurch.org,Y,Y,,25.78908,-80.13336,30.3,UccscraperItem
Iglesia De Cristo Libre Por La Verdad UCC ,,Miami ,FL,33017,305-621-1422,,,null,N,Y,305-624-9313,25.9417,-80.3636,31.6,UccscraperItem
Community UCC ,9823 NE Fourth Ave ,Miami Shores ,FL,33138-2402,305-759-3445,Margaret P. Watson ,mscc1@bellsouth.net,http://www.miamishorescommunitychurch.com/,Y,Y,305-759-4476,25.86516,-80.18952,31.7,UccscraperItem
First Church ,1200 NE 135th St ,North Miami ,FL,33161-4313,305-891-5286,Harvey Lockhart,fcnmucc@yahoo.com,http://www.firstchurchofnmucc.org,Y,Y,305-895-3670,25.89924,-80.17512,34.1,UccscraperItem
Church By the Sea UCC ,9700 Collins Avenue,BAL HARBOUR,FL,33154,305-866-0321,Robert W Asinger ,info@churchbythesea.org,http://www.churchbythesea.org,N,Y,305-864-6501,25.8864,-80.1286,35.3,UccscraperItem
The Lord's House UCC ,120 SW 6th Ave ,Hallandale Beach ,FL,33009-5320,954-455-4909,Joseph Bernard Lee ,jbleeministries@thelordshouse.org,null,N,N,954-456-0855,25.983521,-80.154167,39.7,UccscraperItem
First United Church of Christ ,200 N 46th Ave ,Hollywood ,FL,33021-6604,954-983-2603,John Branford ,hwd200@bellsouth.net,null,N,Y,954-987-7182,26.011015,-80.190178,40.1,UccscraperItem
Sanibel Congregational United Church of Christ,2050 Periwinkle Way ,Sanibel ,FL,33957-4104,239-472-0497,John H Danner ,office@sanibelucc.org,http://www.sanibelucc.org,N,Y,239-472-5939,26.43888,-82.06728,40.4,UccscraperItem
Naples United Church of Christ ,5200 Crayton Rd ,Naples ,FL,34103-2446,239-261-5469,Dawson B. Taylor,info@naplesucc.org,http://www.naplesucc.org,Y,Y,239-261-2475,26.20962,-81.80814,18.7,UccscraperItem
Mayflower Congregational UCC ,2900 County Barn Rd ,Naples ,FL,34112,(239)775-0055,Alan Clifford Coe ,office@mayflowernaples.com,http://www.mayflowernaples.com,N,Y,(239)775-3253,26.125511,-81.730164,18.9,UccscraperItem
Lighthouse Congregational United Church of Christ,2320 Rivers Road,Naples,FL,34120-2525,239-213-0013,Robert E. Townsend ,lighthousenaples@live.com,http://www.lighthousenaples.com,Y,Y,,26.280449,-81.592862,31.8,UccscraperItem
Congregational UCC ,8210 College Pkwy ,Fort Myers ,FL,33919-5192,239-482-3133,Ellen Palmer Marsey  & Ellen Palmer Marsey  & Jean M. Simpson  & Jean M. Simpson ,info@fmcucc.org,http://www.fmcucc.org,Y,Y,239-482-3101,26.55656,-81.894647,38.9,UccscraperItem
Faith United Church UCC Tamarac UCC ,6201 NW 57th St ,Tamarac ,FL,33319-2305,954-721-1232,,uccfaith@bellsouth.net,http://www.faithbroward.com,N,Y,954-721-7164,26.19504,-80.25174,20.5,UccscraperItem
United Church of Christ Fort Lauderdale,2501 NE 30th St ,Fort Lauderdale ,FL,33306-1743,954-563-4271,Rev. Patrick Rogers MDiv,mail@uccftl.org,http://www.uccftl.org,Y,Y,954-563-4467,26.165418,-80.114921,26.5,UccscraperItem
